Unnamed: 0,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
16,Data Science Intern,-1,"Data Science Intern
Availability Up to 10 Hours per week – Flexible Mon-Sun
Location - Australia/Remote
Category - Research and Development
DDHUK is looking for new members who are passionate about Data Analysis and are ready to put their skills in practice for real life scenarios.
Members will have the opportunity to learn, explore and profit from their journey.
Successful applicants will learn about:
- Data treatment from Collection to Cleaning, Analysis, Interpretation and Visualization.
- Effective Python packages and techniques for achieving consistent results.
- Team collaboration and project versioning.
- Local industry scenarios where data analysis is applied.",-1.0,DDHUK Analytics,Brisbane,-1,-1,-1,-1,-1,-1
17,APS 4/5-6 (S&T 3-4) - Adversarial Machine Learning Researcher/Engineer,"$82,842 /yr (est.)","$69,811 - $95,873 (plus super)
Edinburgh - SA
The Role
This role can be filled as either:

Adversarial Machine Learning Researcher
Adversarial Machine Learning Engineer

You will be part of an S&T team working in the area of Adversarial Machine Learning (AML) undertaking applied research, or engineering tasks, towards quantifying and enhancing the robustness of Machine Learning (ML) solutions for Defence applications.

AML involves countering data-driven attacks on ML solutions, whereby malicious actors modify training or test data to mislead and/or subvert ML predictions. You will help to devise, or implement and evaluate, new robust learning approaches suitable for adversarial environments and undertake research and development into the design and assessment of robust ML solutions for Defence applications, including reinforcement learning and deep learning.

Both roles provide exposure to S&T challenges in cyber security and operations in a military context. In addition, there exists the opportunity to work closely with Australian and international research partners, Defence clients and cyber security domain experts. You will also be supported with training in aspects of cyber security and ML as required, and encouraged to further develop your expertise.

will also be encouraged to engage with the scientific community. The AML Researcher, under guidance and as part of a multi-disciplinary team, will:


, under guidance and as part of a multi-disciplinary team, will:



Cyber and Electronic Warfare Division undertakes research and development focused on identifying, analysing and countering threats to Australia’s defence and national security through electronic means.

Cyberwarfare Operations branch undertakes research and development to help Australian Defence develop an effective cyber warfare capability that enables fight-through in a contested cyber environment.

The Counter Cyber Threats group undertakes research and development to identify, understand and defeat threats to key cyber terrain. Their work supports ADF cyber operations, with a particular focus on defence of military mission systems and platform systems.


We are looking for candidates who can build and sustain positive relationships with team members, actively participate in team work and group activities, work collaboratively and operate as effective team members.

The ideal AML Researcher shall also be able to:


While the ideal AML Engineer shall also be able to:",3.8,"Australian Government Department of Defence
3.8",Adelaide,10000+ Employees,-1,Government,National Services & Agencies,Government & Public Administration,$10+ billion (USD)
18,Data Scientist,-1,"Airwallex is a global payments fintech company transforming the way businesses move and manage money globally. We have built a global financial infrastructure platform to help businesses transact, collect and pay across 130+ countries and 50+ currencies, without the constraints of the traditional global financial system. We've grown to 19 global locations and have raised over US$800 million in funding. To support our ambitious growth plans, we’re looking for smart, collaborative and passionate people who are looking to make a genuine impact.
What you will do:
Define, understand, and test opportunities and levers to improve the product, and drive roadmaps through your insights and recommendations
Work with large and complex data sets to solve a wide array of business problems using different analytical and statistical approaches",3.7,"Airwallex
3.7",New South Wales,1001 to 5000 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
19,Data Scientist,-1,"Data Scientist
Mount Waverley, VIC, AU, 3149
About United Energy
United Energy distribute electricity to more than 660,000 customers across east and south-east Melbourne and the Mornington Peninsula, about 90% of our customers are residential. We own and manage the technology, which includes a network of 204,000 poles and over 13,000 kilometres of wires. All day, every day we’re working for our customers, bringing energy into your homes and businesses to keep your world running the way you want it to.
We proudly strive to provide a safe, inclusive and sustainable environment where all of our people feel respected, valued and supported to be the best they can be.",3.3,"CitiPower and Powercor
3.3",Mount Waverley,1001 to 5000 Employees,-1,Company - Public,-1,-1,$1 to $2 billion (USD)
20,Data Scientist,-1,"We're growing our data science capabilities and are looking for data scientists to join our Eliiza team in Australia.
In this awesome role you will work with other smart, passionate and skilled people to deliver data science products and services to clients.
With our diverse range of clients and projects, no day will look the same - but here's a great snapshot of what's some of the recent projects keeping our data science team busy:
NLP - sentiment analysis - social media, chatbot data, error correction
Prediction/Forecasting - prediction of economic growth from transaction, prediction of fraud transactions in real time, prediction of customer behaviour
Information extraction - satellite image analysis, facial recognition, image processing",4.5,"Eliiza
4.5",Melbourne,51 to 200 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
21,Data & Analytics RA3D - Expression of interest,-1,"Job no: 517810
Work type: Permanent Full Time
Location: Melbourne, Perth, Brisbane, Darwin, Canberra, Parramatta, Sydney, Wollongong, Penrith, Rhodes, Newcastle/Hunter
Division: Audit, Assurance & Risk Consulting
KPMG Australia is part of a global network providing extensive services across a wide range of industries and sectors. Our people collaborate, share their expertise and create innovation as we partner with clients to solve complex challenges, empower change, drive disruption and growth. We look for talented people with the potential to make an extraordinary difference for our clients, our firm, and our communities.
Our national Risk Assurance Data and Digital Deployment (RA3D) team are seeking some excellent people to join our rapidly growing team. We are an inclusive and dynamic team committed to driving innovation, delivering client outcomes, and making an impact. The strength of our team lies in the diversity of the background and skillset of each member, fostered in a collaborative environment.",4.0,"KPMG
4.0",Sydney,1001 to 5000 Employees,-1,Company - Private,Business Consulting,Management & Consulting,$25 to $50 million (USD)
22,Data Scientist,-1,"Company Description

At Reejig, we put people at the centre and help companies around the world create the future of work. We foster a culture that is mutually respectful and rewarding, where everyone is a hero of their domain whilst simultaneously adding value to the tribe. Our culture is constructed around our core values – Inclusive, Ambitious, Ethical and Exceptional – which governs how we behave.

Job Description

Reejig is looking for an ambitious and hard-working Data Scientist to join the tribe! The Data Scientist is a systematic innovator who is able to utilise their statistical, machine learning, programming and analytical expertise and skills to transform big data into meaningful insights. He/she/they will be able to work autonomously and collaboratively with other data developers, data engineers and software engineers to meet personal, team and company goals.",5.0,"Reejig
5.0",Sydney,1 to 50 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
23,Senior Data Scientist - Clipchamp,-1,"Clipchamp is the go-to video platform with one simple mission: to empower anyone to tell stories worth sharing. Since 2016 we’ve attracted over 17 million registered users globally and counting, and that’s only the beginning. We've now joined Microsoft's Office Media Group (OMG) - to empower every person and organisation to achieve more with media!

Building and maintaining strong connections across location and time is critical in the world we live in, and the emotional power of media – video, audio, and photos – makes it perfect for fostering personal connections and sharing information.

Our in-browser platform gives users access to professional video editing tools and features alongside a 1 million asset-strong stock library and hundreds of editable video templates. We're the go-to platform that's built with everyday editors and creators in mind.

About the Team",4.4,"Microsoft
4.4",Australia,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
24,Position – Data Scientist,-1,"Location – Sydney and Digital / Remote
Experience – Minimum 8 years
We are looking for a candidate with good command over R / Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm design, analysis, development, and performance improvement. Strong understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering, classification, regression techniques, recommendation (collaborative filtering) algorithms and Time series analysis.

We are eager to hear from you if you have one of the below mentioned skills. Send us your resume at careers@robonomics.ai",4.9,"Robonomics AI
4.9",Sydney,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
25,"Mid - Year Graduates - Information Technology/ Computer, Information or Data Science",-1,"Seeking Information Technology mid-year Graduates!
Learn from a range of experiences around you.
Permanent roles on offer, Sydney based with flexibility

Hi, we’re Ampol,

Our company is about more than fuel. Fuel may be the foundation of our business, but our motivation and purpose comes from the people, businesses, industries and communities we engage with. From our origins until today, we’ve always been inspired by the role we can play in people’s lives – to keep them moving, to make journeys happen. Here at Ampol, we are proud of our heritage as Australia’s only owned fuel brand. For over 100 years we have supported Australians to travel far and wide, and we’ll be here for 100 more powering better journeys for today and tomorrow. We offer genuine opportunities to jumpstart your career as we continue to grow our business.",3.6,"Ampol
3.6",Alexandria,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
26,Expressions of Interest - Data & Analytics,-1,"Job no: 509776
Work type: Permanent Full Time
Location: Melbourne, Perth, Brisbane, Darwin, Canberra, Parramatta, Sydney, Wollongong, Penrith, Rhodes, Newcastle/Hunter, Adelaide
Division: Audit, Assurance & Risk Consulting
Join KPMG’s Risk Data and Digital Talent Community and start planning your future
We do our best work together
Learn how we value, celebrate and support our employees
KPMG is one of the most trusted and respected global professional services firms. Through depth of expertise, clarity of insight and strength of purpose we help our clients solve complex challenges, steer change, strengthen, transition and grow. We are looking for talented people who share our purpose of inspiring confidence and empowering change for our clients, our people and our communities.",4.0,"KPMG
4.0",Sydney,1001 to 5000 Employees,-1,Company - Private,Business Consulting,Management & Consulting,$25 to $50 million (USD)
27,Data Scientist (Brain-Computer Interface Team),-1,"We are a development, data science and design studio that works closely with founders and executives to create custom software and machine learning solutions.
Are you a data scientist who is excited about brain-computer interfaces (BCIs) that increase human agency? Are you a self-starter who is comfortable with ambiguity and wants to tackle challenging engineering problems? Do you want to work with a world-class remote team while having a big impact on the machine-learning approach for an early-stage project?
We are looking for a Data Scientist who is interested in working with us at AE Studio on the future of neurotechnology!
About AE Studio",-1.0,AE Studio,Sydney,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
28,Junior Data Scientist,-1,"About the company
illion is the leading independent provider of trusted data and analytics products and services in Australia and New Zealand. illion is headquartered in Melbourne with offices in all major metropolitan cities across Australia and New Zealand. Our team work with leading brands in our region to bring data & analytics to life.
About the role
We're looking for passionate modeller to join our growing team:
The Modeller supports the Modelling team by building, implementing, monitoring, and maintaining a variety of models. Such analyses may leverage illion's own data, illion's clients' data, or a combination of both.",3.1,"illion
3.1",Sydney,501 to 1000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
29,Data Scientist,-1,"Founded in 2014, Mable has become one of Australia's largest and fastest growing healthtech marketplaces. Our platform is an online community of independent support workers who offer their services directly to people who are seeking aged care or disability support.
Mable began when our co-founder Peter Scutt teamed up with his friend and colleague, Tony Charara, after struggling to find the right home care solution for his parents. That collaboration resulted in an entirely new concept in community care led by the people that matter, which we've been constantly refining and improving upon ever since.

With over 3 million hours of support being facilitated through its platform annually, Mable has been growing at a very fast pace and is now at 250+ employees strong.",4.0,"Mable
4.0",Remote,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
30,DigitalBCG | GAMMA Lead Data Scientist,-1,"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.


BCG GAMMA combines innovative skills in computer science, artificial intelligence, statistics, and machine learning with deep industry expertise. The BCG GAMMA team is comprised of world-class data scientists and business consultants who specialize in the use of advanced analytics to get breakthrough business results. Our teams own the full analytics value-chain end to end: framing new business challenges, building fact-bases, designing innovative algorithms, creating scale through designing tools and apps, and training colleagues and clients in new solutions.",4.4,"Boston Consulting Group
4.4",Melbourne,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
31,DigitalBCG | GAMMA Senior Data Scientist,-1,"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.

Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.


BCG GAMMA combines innovative skills in computer science, artificial intelligence, statistics, and machine learning with deep industry expertise. The BCG GAMMA team is comprised of world-class data scientists and business consultants who specialize in the use of advanced analytics to get breakthrough business results. Our teams own the full analytics value-chain end to end: framing new business challenges, building fact-bases, designing innovative algorithms, creating scale through designing tools and apps, and training colleagues and clients in new solutions.",4.4,"Boston Consulting Group
4.4",Melbourne,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
32,"Mid Year Graduate Program Information/ Data Science, Business/ Commerce, Project Management",-1,"Seeking Graduates to join us mid-year!
Learn from a range of experiences within defined rotations
Permanent roles on offer based in Sydney or Brisbane, with flexibility

Hi, we’re Ampol,

Our company is about more than fuel. Fuel may be the foundation of our business, but our motivation and purpose comes from the people, businesses, industries and communities we engage with. From our origins until today, we’ve always been inspired by the role we can play in people’s lives – to keep them moving, to make journeys happen. Here at Ampol, we are proud of our heritage as Australia’s only owned fuel brand. For over 100 years we have supported Australians to travel far and wide, and we’ll be here for 100 more powering better journeys for today and tomorrow.",3.6,"Ampol
3.6",Alexandria,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
33,Data Scientist,-1,"Austin Health is one of Victoria’s largest health care providers. Comprising of the Austin Hospital, Heidelberg Repatriation Hospital, Royal Talbot Rehabilitation, Hospital in the Home and community based health services; Austin Health is an internationally recognised leader in clinical teaching, training and research, with numerous university and research institute affiliations.
An exciting opportunity currently exists for an enthusiastic and highly experienced Data Scientist to join our Performance Reporting and Decision Support Department. The Data Scientist is responsible for helping drive the advancement and use of data science approaches and techniques for generating data-driven analytics at Austin Health. The role will work closely with both clinical and administrative stakeholders to develop methods of delivering analytical solutions and insights though data science techniques in line with best practice standards.",3.5,"Austin Health
3.5",Heidelberg,5001 to 10000 Employees,1882,Hospital,Healthcare Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
34,"Applied Scientist, Alexa AI - Web Information",-1,"Ph.D. in CS or equivalent experience, 2+ yr. experience developing NLP/QA Models, model deployment, statistical analysis and writing/presentation to non-scientist stakeholders.
Job summary Amazon is looking for a creative Applied Scientist to tackle some of the most interesting problems on the leading edge of information retrieval (IR) and machine learning (ML) with our Alexa Artificial Intelligence (AI) team. Alexa AI aims to reinvent search and information retrieval for a voice-forward, multi-modal future. We enable customers to interact with unstructured and semi-structured content via a broad range of customer experiences including question answering, summarization, search, and multi-turn dialogues. Key job responsibilities If you are looking for an opportunity to develop innovative solutions to deep technical problems having a massive customer impact, this might be the role for you! As an Applied Scientist, you will work with smart, passionate colleagues in a fast-paced environment. You will develop and help deploy novel, scalable algorithms to advance the state-of-the-art in technology areas at the intersection of IR and ML. You will keep up with relevant research in the field of IR and publish your work in top-tier conferences. You will contribute to a multi-year research roadmap, enabling the team to focus on the right technical challenges to delight our customers.",3.8,"Amazon Australia Services, Inc
3.8",Melbourne,1001 to 5000 Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
35,Azure Data and AI Sales Specialist Director,-1,"The Azure Data & AI Specialist Leader(M2) is a senior leader within our Enterprise Sales organisation, developing and managing a team of high calibre specialists to help our largest customers modernise their data and drive value from analytics, AI and IOT.

Leading a large team, this is a senior sales leader with deep technical expertise and business acumen and is a thought leader that can represent the Data and AI solution area with customers and Microsoft internal stakeholders.

Attributes
Has a broad understanding of technology trends, market forces and industry imperatives. Builds strong connections with priority partners in order to create a meaningful extension of the team’s sales and technical reach.
Inspires people, builds multifaceted teams and attracts top talent.",4.4,"Microsoft
4.4",Sydney,10000+ Employees,1975,Company - Public,Computer Hardware Development,,
36,Junior Data Scientist,-1,"Job Details
About the company
illion is the leading independent provider of trusted data and analytics products and services in Australia and New Zealand. illion is headquartered in Melbourne with offices in all major metropolitan cities across Australia and New Zealand. Our team work with leading brands in our region to bring data & analytics to life.
About the role
We're looking for passionate modeller to join our growing team:
The Modeller supports the Modelling team by building, implementing, monitoring, and maintaining a variety of models. Such analyses may leverage illion's own data, illion's clients' data, or a combination of both.",3.1,"illion Australia
3.1",Sydney,501 to 1000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
