,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
10,"Equity, Diversity & Inclusion (EDI) Data Analyst","$91,479 /yr (est.)","Human Resources
Permanent/continuing, full-time appointment
Level: 6/7: $81,741 - $101,216 + 17% superannuation
The Equity, Diversity & Inclusion (EDI) Data Analyst position is responsible for the development, quantitative analysis and interpretation of data associated with the suite of EDI programs and initiatives led by the Human Resources Division, to further develop equity, diversity and inclusion at the University of Wollongong. These programs and initiatives include but are not limited to the Science in Australia Gender Equity (SAGE) Athena SWAN program, Workplace Gender Equality Agency (WGEA) annual reporting, the Australian Workplace Equality Index (AWEI) and the University’s workforce diversity policies and strategies.
The EDI Data Analyst works closely with the Workforce Diversity Advisor, the EDI Workforce Officer, the Aboriginal Employment Strategy Advisor and the broader HR Division to support initiatives that promote diversity and inclusion within the University, informed by robust research and data analysis. This position is also responsible for the preparation and analysis of accurate and relevant data for internal/external EDI compliance and legislative reporting requirements.
Applicants will be prompted to respond to selection criteria within the online application. For further information about the role please contact Natalie Asquith on (02) 4298 1399.",3.9,"University of Wollongong
3.9",Wollongong,5001 to 10000 Employees,1975,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
11,Data Analyst,"$100,260 /yr (est.)","*Experienced professional with 3+ Years Experience.
*Using automated tools to extract data from primary and secondary sources.
*Filter Data by reviewing reports and performance indicators to identify and correct code problems.
*Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be help.
Job Type: Full-time
Salary: $89,203.00 – $111,316.00 per year",3.0,"iNNOAVTE IT CONSULTANCY PRIVATE LIMITED
3.0",Sydney,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
12,Contract Data Analyst,$100.00 /hr (est.),"Experienced Data Analysts are required to work on projects designed to implement an enhanced data management and analytics platform to facilitate data warehousing capabilities, reporting, data analysis, and storing and archiving transactional data.
As a Data Analyst reading this, you are aware that the role requires someone who can gather information from various sources, interpret patterns and trends in the data, and turn it into information which can offer ways to improve business.
More specifically, our client is seeking applicants who are particularly adept at:
Using Microsoft Excel to store and analyse data, including formulas and data manipulation
Performing qualitative and quantitative analysis as part of the design process",-1,1st People Services,Canberra,-1,-1,-1,-1,-1,-1
13,Data & Reporting Analyst,-1,"Aufgaben
The Role
Working for Mercedes-Benz Vans Australia in this full time, permanent position, you will become a brand ambassador and embody our reputation for service excellence and our care in providing flexible, innovative and tailor-made solutions.
This newly created role works within our Network Development & Data Insights team to develop analytics solutions based on business reporting requirements for the Mercedes-Benz Vans business. Ultimately this role will support and collaborate with the business to use data to better understand our customers, leading to the delivery of better customer experiences.

Key responsibilities:
Assist with understanding business stakeholder’s data requirements for reporting and dashboards
- Data Governance - champion and support an organisational understanding of the role of data",4.2,"Mercedes-Benz Australia/Pacific Pty Ltd
4.2",Melbourne,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
14,Equity Research - Industrials (Analyst/Associate),-1,"Equity Research - Industrials (Analyst/Associate)
Job Number:
3212950
POSTING DATE: May 5, 2022
PRIMARY LOCATION: Non-Japan Asia-Australia-New South Wales-Sydney
JOB: Research
EMPLOYMENT TYPE: Full Time
JOB LEVEL: Analyst
DESCRIPTION


About The Role
An opportunity exists for a Research Analyst (Industrials) to join the highly regarded Australian Research team. Candidates will ideally have a background in equity research, investment banking, investment management, professional services or within corporates operating in the Industrials field.",4.0,"Morgan Stanley
4.0",Sydney,10000+ Employees,1935,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
15,Omnichannel and Data Support Analyst,-1,"Do you have expertise in marketing technology and a passion for seeing how omnichannel campaigns come to life? Would you like to apply your expertise to drive exciting data and technology initiatives in a company that follows the science and turns ideas into life changing medicines? Do you want to work in a company that lives and breathes diversity and inclusion? Then a career in the Commercial IT team at AstraZeneca might be just what you are looking for.

ABOUT ASTRAZENECA
AstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development and commercialisation of prescription medicines for some of the world’s most serious diseases. But we’re more than one of the world’s leading pharmaceutical companies. Our ambition is to transform our company and through science, technology and data, we will improve healthcare and positively impact the lives of millions of people.",4.1,"AstraZeneca
4.1",Sydney,10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
16,Data Quality Analyst,"$109,421 /yr (est.)","Employment Type: 7 x Temporary Full Time (up to 31 Dec 2022)
Position Classification: Health Manager Level 2
Remuneration: $100,107.00 - $118,735.00, plus Superannuation
Location: 1 Reserve Road, St Leonards
Hours Per Week: 38
Requisition ID: REQ313564
Closing Date: 29 May 2022 (11:59PM)


Where you'll be working
Health Protection NSW is responsible for disease surveillance and public health response in NSW, including monitoring the incidence of notifiable infectious diseases and taking appropriate action to control the spread of diseases. It also provides public health advice and response to environmental issues affecting human health. This position will initially be working within the COVID-19 Influenza Branch in Health Protection NSW.
For more information go to www.health.nsw.gov.au",-1,NSW Government -Health System Support Group,Sydney,-1,-1,-1,-1,-1,-1
17,Data Analyst,-1,"Immediate Start
Great company values and culture
Able to work remotely
This is an excellent opportunity for a Data Analyst to work at Sanitarium Health & Wellbeing, a highly respected food manufacturing company based locally on the Central Coast. The opportunity offers an immediate start and will give the successful candidate the chance to design Business Intelligence solutions that will allow data driven business outcomes across a wide range of areas in the business.
Sanitarium Health Food Company is Australian owned and a leader in the food industry with much loved brands and category leaders like Weet-Bix, Up&Go and So Good. Sanitarium's mission is focused on improving health and wellbeing in our community and as an organisation it is recognised as one of Australia's most trusted brands.",4.1,"Sanitarium Health & Wellbeing
4.1",Berkeley Vale,1 to 50 Employees,-1,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable
18,"Data Analyst, APS 6","$88,046 /yr (est.)","Classification: APS Level 6
Salary: $81,950 - $94,141
Location: Canberra, Melbourne or Sydney
About ACLEI

The Australian Commission for Law Enforcement Integrity (ACLEI) is an independent agency within the Attorney-General’s Portfolio, established to support the Integrity Commissioner in carrying out his or her responsibilities for detecting, investigating and preventing corrupt conduct in Australian Government agencies with law enforcement functions. The Integrity Commissioner has extensive powers, including the ability to hold coercive hearings, and ACLEI investigative staff are able to use a range of law enforcement powers to assist in the Integrity Commissioner’s investigations.

At ACLEI, we seek the very best. Attracting and supporting clever, innovative and committed people is essential to ensure ACLEI is well placed to undertake its critical work. We work in a complex and dynamic setting where exceptional judgement and an ability to achieve results are critical.

ACLEI is currently undergoing a process of organisational transformation to ensure we remain fit for purpose in an increasingly complex operating environment. In support of our transformation strategy, we are looking for outstanding individuals with the ability to lead, manage, cooperate and perform successfully across a wide range of corporate and operational functions.

A key focus of ACLEI’s leadership culture is our understanding of, and commitment to, creating a diverse and inclusive environment to bring out the best in our people. You will find ACLEI to be a supportive and inclusive workplace.



Reporting to the Senior Data Analyst, the Data Analyst will assist with the production of strategic intelligence insights by ACLEI’s Strategic Intelligence and Data Analysis (SIDA) team. The Data Analyst will also help to design, build and maintain agency data assets that support intelligence and investigations more broadly. The role would suit either an intelligence analyst with an affinity for information technology and data, or a data analyst with experience of, or interest in, intelligence practice.

Working as part of a multi-disciplinary team of strategic intelligence analysts and data analysts, the Data Analyst not only extracts, cleanses, manipulates and analyses corruption-related data, but also recognises the most effective means of presenting that data to a broad and varied client base. The Data Analyst is also responsible for:





Employment with ACLEI is subject to the following conditions:



We encourage applications from the Australian community including Aboriginal and Torres Strait Islander people, people of all ages, people from culturally and linguistically diverse backgrounds, and people with disability.







The key duties of this position and capabilities required are listed in the Information for Applicants below. If after viewing this information you have questions, please contact Stuart Murnain on 0459 928 025.

For assistance with the online application system, please email recruitment@aclei.gov.au",-1,Australian Commission for Law Enforcement Integrity (ACLEI),Melbourne,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
19,GIS Analyst Internship,$35.00 /hr (est.),"For an internship position, our client is searching for a GIS analyst.
The Company
An innovative large business
About the Role
We have an opportunity for a Spatial Analyst internship position to join the GIS team at an innovative company. The role will be around 20 hours a week, but the client is flexible with hours for the right individual.
Your key responsibilities",-1,Aspen Recruitment,Sydney,-1,-1,-1,-1,-1,-1
20,Data Analyst 62340,-1,"Want to do the best work of your life? Make your mark at Europe’s leading entertainment brand. Our people make Sky a truly exciting and inclusive place to work – a place where you can be yourself and let your skills shine.
As a member of the Advanced Analytics team looking after NOW, you’ll be using cutting edge technologies & techniques to help drive decision making for one of the streaming leaders in the UK. Delivering business critical insight and innovative solutions for new products and initiatives is what we excel at and with your help, we will aim to supercharge the market understanding and strategic perspective of our stakeholders throughout the organization. Working collaboratively across multiple teams, you will be the expert channelling the power of data to help them make better decisions using numbers.
What you’ll do:
Develop relationships with stakeholders to reach a deep understanding of their business",3.9,"Sky
3.9",Osterley,10000+ Employees,1989,Company - Public,Broadcast Media,Media & Communication,$5 to $10 billion (USD)
21,Data Analyst,"$85,000 /yr (est.)","About Make It Cheaper:
Make It Cheaper is Australia’s number one SME focused energy price comparison service, our purpose is to make it easy for Australian businesses to save time and money again and again.
Operating in SME as well as residential and large Commercial and Industrial segments, we are fast-growing (30% year-on-year) and highly entrepreneurial with ambitious scale-up and diversification plans. Having enjoyed phenomenal success over recent years, we are now looking to significantly improve lead efficiency, digitise and automate our customer experience and operations.
We are a fun group of approximately 100 team members working on a single floor in a bright/open office overlooking Woolloomooloo Bay and The Domain.",-1,Make It Cheaper,Sydney,-1,-1,-1,-1,-1,-1
22,Data Analyst,-1,"20 hours per week with flexibility regarding your assigned days
Silverwater office
Positive team approach
EQUANS ANZ is part of a global, technical services leader, and part of the ENGIE Group. Our local team of qualified technicians and support staff delivers value for customers by balancing cost, risk and performance, while having access to a global network of experts. We design and provide customised solutions for our clients to support them in their energy, industrial and digital transitions.
With nearly 900 highly qualified employees across 20+ locations in Australia and New Zealand, we provide excellent technical know-how in design, installation and maintenance, with a unique combination of skills in Mechanical, Fire Protection, AV and Electrical and Communications Services.",3.3,"EQUANS
3.3",Silverwater,5001 to 10000 Employees,2021,Company - Private,-1,-1,Unknown / Non-Applicable
23,Data Analytics Analyst,-1,"We currently have a great opportunity within our Operations Team for a Data Analytics Analyst to join IQVIA on a fixed term 12-month contract based in our Sydney office. This role will see you work across multiple data sets Pharmacy related: Point of Sales, Point of Dispense, Stock data, Point of Purchase, Sell in data.
The immediate scope of the work is to support the team with data quality investigations, ad -hoc data insight, reports, and new processing requirements. A good understanding of sales transactions in a pharmaceutical landscape acquired from previous experience working in a pharmacy environment would be ideal in combination with sound technical skills using SQL, Python and/or R to analyse the data.
As a Data Analytics Analyst you will be responsible for the collection, processing, analysis, and administration of supplier data through to the preparation of data for reporting purposes.",3.9,"IQVIA
3.9",St Leonards,10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
24,Data Business Analyst,"$80,000 /yr (est.)","Job Type: Full-time
Salary: $70,000.00 to $120,000.00 /year
Location: Office location will be determined dependant on the right applicant, as we have offices based in Sydney, Melbourne, Adelaide, Perth and Brisbane.
We are looking for a BA who has demonstrated experience in business and data analysis alongside project delivery. You’ll be confident working across functional teams and will be able to join our team on a Full-time basis within one of our agencies.
As a Business Analyst, you are responsible for leading the written recommendations and documentation required throughout the project lifecycle working closely with Clients and our Project Management Office, Technical Development, Design and User Experience teams.",3.8,"WPP AUNZ
3.8",Sydney,10000+ Employees,1985,Company - Public,Advertising & Public Relations,Media & Communication,$10+ billion (USD)
25,Data Analyst - Epidemiology and Analysis,"$109,421 /yr (est.)","Employment Type: 5 x Temporary Full Time (up to 31 Dec 2022)
Position Classification: Health Manager Level 2
Remuneration: $100,107.00 - $118,735.00, plus Superannuation
Location: 1 Reserve Road, St Leonards
Hours Per Week: 38
Requisition ID: REQ313608
Closing Date: 29 May 2022 (11:59PM)


Where you'll be working
Health Protection NSW is responsible for disease surveillance and public health response in NSW, including monitoring the incidence of notifiable infectious diseases and taking appropriate action to control the spread of diseases. It also provides public health advice and response to environmental issues affecting human health. This position will initially be working within the COVID-19 Influenza Branch in Health Protection NSW.
For more information go to www.health.nsw.gov.au",3.8,"Health System Support Group
3.8",St Leonards,1001 to 5000 Employees,-1,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable
26,Data Analyst - 8 Month Contract,-1,"50 million! Is the volume of product provided to patients in Australia and New Zealand in 2021. As a leading generic supplier in this market, Sandoz, a division of Novartis is committed to providing access to affordable medicines.
As a Data Analyst, you will support the new acquisition business, enabling efficient and accurate analysis and data provision to support the management of sustainable growth. You will join a highly collaborative team who work together to do the best possible job for the best collective outcome. This is an 8 month contract.

Your Responsibilities:
Database Validation and Accuracy - Coordinate the review and update of master data tables, understand and facilitate the smooth flow of data through a network of systems and maintain regular reports to highlight outliers and anomalies, following up with key stakeholders to resolve.",4.2,"Sandoz
4.2",Sydney,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
27,Data Analyst,-1,"Introduction:
About AssetFuture

AssetFuture is a global leader in asset optimisation. Our SaaS Solution works behind-the-scenes to make complex decisions simpler. Our vision is to improve communities by enabling a range of organisations to make significant cost savings, reduce risk and increase performance of physical assets across the entire portfolio, through evidence-based decision making.

Description:
Liaise with project management, communications teams and field assessors
Draw insights, enable clients/management to deliver effective business decisions
Professional, close-knit Data Excellence and Engineering teams

About AssetFuture

AssetFuture is a global leader in asset optimisation. Our SaaS Solution works behind-the-scenes to make complex decisions simpler. Our vision is to improve communities by enabling a range of organisations to make significant cost savings, reduce risk and increase performance of physical assets across the entire portfolio, through evidence-based decision making.

Reporting to the Data Excellence Manager, as Data Analyst you will validate, manage and analyse the AssetFuture database. As an integral part of the data team, you will liaise closely with the project management and communications teams and the field assessors.

The objective of the role is to draw insights to enable clients and management to deliver effective operational business decisions.

The role can be based in Sydney, NSW, or at our Brisbane office at Eagle Farm, QLD. Flexible working is possible.


Validate data collected by our field assessors against floor plans, using construction knowledge and photographs taken of all spaces
Follow up with the field assessors with relevant questions regarding the data collected
Carry out the data validation process in accordance with the Validation Guidelines documentation
Carry out general database administration tasks
Assist in data analysis, visualisation, and reporting
Collaborate and contribute as an effective member of the Data Excellence team
Initiate and maintain an excellent level of verbal and written communications with clients, internal stakeholders and team members
Respond to unforeseen queries and challenges in a calm and courteous way, remaining polite and professional at all times



1-2 years’ experience of working with data in a professional context, handling large data sets in validation, manipulation and analysis
Exceptional attention to detail and a high level of accuracy as data analysis drives critical business decisions and recommendations
Bachelor qualification in the areas of Engineering, Computer Science and/or Statistics discipline
Advanced skills in the use of Microsoft Office - Word and Excel
Ability to learn the functionality and use of specific computer software
Maths Skills - understanding of basic statistical methods
Programming Skills - understanding of programming logic
Familiarity with Python, R, SQL – ideal
Excellent written and verbal communication skills
Superior time management skills to meet frequent tight deadlines
Professional attitude and a strong commercial awareness
Ability to remain calm and think clearly in a variety of situations
Resourcefulness in finding answers yourself and knowing when to escalate or seek help from others
Adaptability in a fast-paced and progressive working environment
Fully vaccinated in COVID-19

If you are passionate about delivering accurate data that drives business decisions and have demonstrated experience in data validation, manipulation and analysis, please click 'Apply' to let us have your CV and cover letter – we would love to hear from you.

We are only able to consider candidates with full, permanent Australian work rights.

In order to comply with various Federal/State/Territory Government mandates and Client site requirements, you must be able to provide proof of vaccination if required to do so as part of the Assetlink recruitment process.

AssetFuture is committed to maintaining, growing and supporting our diverse and inclusive culture, by seeking and promoting diversity within each of our work sites. We welcome and encourage applications from diverse community groups and ages including Aboriginal and Torres Strait Islander, LGBTIQA, people with disabilities, women, and other diversity groups.

AssetFuture recognises the benefits of diversity in creating amazing customer experiences, increasing productivity and encouraging business growth.",3.0,"Assetlink
3.0",Sydney,1001 to 5000 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
28,Data Analyst,"$117,791 /yr (est.)","Permanent Full Time Opportunity
Work for an employer of choice
Apply your skills in a role that helps us improve our city
If you are a passionate data storyteller with an analytical mind, wanting to make a positive difference to a city, this is your new dream job.
If you thrive in an environment where your data insights answer questions and lead to improvements for a community and an organisation, keep reading…. [but true data nerds don’t need to be told that!]
The Data Analyst will design and develop interactive reports, dashboards and other data outputs that will lead to improvements in service levels, productivity, performance and customer experience.",3.8,"Canterbury-Bankstown Council
3.8",Bankstown,Unknown,-1,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable
29,Business Analyst (Data) - Lender Product,-1,"Lendi Group is Australia's #1 Online Home Loan platform and we're revolutionising the industry with best-in-class technology and a suite of tools that takes the hard work out of home loans - for our Customers and Brokers alike.
Due to growth, we're seeking an experienced Mid-level/Senior Business Analyst for a 6 month contract to join one of our cross functional teams.
The role is highly collaborative and involves working within a passionate engineering team and liaising with Product Managers as well as senior stakeholders

The opportunity:",4.2,"Lendi Group
4.2",Sydney,201 to 500 Employees,2013,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable
30,Data Analysts,$95.00 /hr (est.),"Application closing date: Wednesday 1 June 2022 at 11:59pm (in Canberra)
Estimated start date: Fri Jul 01 2022
Location of work: New South Wales
Length of contract: ASAP to 30 June 2023
Contract extensions: Up to 1x 12-month extensions
Security clearance: Ability to obtain baseline clearance (Must be Australian Citizen)
Rates: $80 - $110 per hour (inc. super)",5.0,"CYOS Solutions
5.0",Sydney,1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
